context_id,location_id
1,596
1,619
1,649
1,725
1,761
1,773
1,778
1,780
1,781
1,782
1,787
1,788
1,789
1,790
1,792
1,794
1,796
1,799
1,801
1,803
1,808
1,809
1,811
1,813
1,814
1,815
1,822
1,888
1,898
1,921
1,933
1,938
1,952
1,956
1,988
1,994
1,999
1,1011
1,1015
1,1037
1,1050
1,1082
1,1120
1,1122
1,1195
1,1260
1,1263
1,1264
1,1266
1,1269
1,1311
1,1327
1,1426
1,1493
1,1501
1,1724
1,1737
1,1762
1,1771
1,1774
1,1775
1,1783
1,1789
1,1790
1,1792
1,1793
1,1794
1,1795
1,1796
1,1797
1,1798
1,1800
1,1867
1,1869
1,1873
1,1874
1,1876
1,1890
1,1934
1,1936
1,1939
1,2024
1,2106
1,2108
1,2194
1,2342
1,2347
1,2348
1,2351
1,2352
1,2354
1,2355
1,2356
1,2358
1,2359
1,2361
1,2375
1,2381
1,2396
1,2411
1,2414
1,2418
1,2423
1,2425
1,2427
1,2428
1,2430
1,2440
1,2442
1,2445
1,2487
1,2490
1,2491
1,2498
1,2529
1,2543
1,2615
1,2619
1,2669
1,2691
1,2788
1,2790
1,2807
1,2855
1,2861
1,2867
1,2871
1,2873
1,2883
1,2887
1,2912
1,3029
1,3081
1,3173
1,3228
1,3279
1,3296
1,3308
1,3334
1,3346
1,3348
1,3384
1,3393
1,3401
1,3405
1,3450
1,3455
1,3498
1,3504
1,3530
1,3535
1,3542
1,3543
1,3550
1,3645
1,3683
1,3686
2,576
2,668
2,669
2,675
2,680
2,696
2,767
2,775
2,777
2,791
2,795
2,797
2,798
2,804
2,805
2,806
2,807
2,810
2,812
2,843
2,849
2,856
2,889
2,906
2,932
2,939
2,940
2,946
2,947
2,989
2,991
2,1004
2,1007
2,1012
2,1151
2,1168
2,1169
2,1170
2,1186
2,1188
2,1205
2,1233
2,1257
2,1258
2,1265
2,1270
2,1278
2,1295
2,1303
2,1355
2,1356
2,1357
2,1395
2,1406
2,1418
2,1425
2,1427
2,1490
2,1502
2,1540
2,1588
2,1595
2,1685
2,1748
2,1752
2,1757
2,1758
2,1764
2,1772
2,1778
2,1785
2,1799
2,1846
2,1854
2,1855
2,1859
2,1860
2,1866
2,1871
2,1877
2,1879
2,1928
2,1932
2,1938
2,1942
2,1960
2,2088
2,2090
2,2095
2,2096
2,2216
2,2275
2,2283
2,2287
2,2321
2,2335
2,2340
2,2343
2,2344
2,2350
2,2353
2,2357
2,2362
2,2364
2,2365
2,2374
2,2407
2,2410
2,2419
2,2421
2,2424
2,2426
2,2429
2,2432
2,2438
2,2446
2,2459
2,2486
2,2488
2,2512
2,2514
2,2523
2,2555
2,2560
2,2598
2,2621
2,2622
2,2624
2,2628
2,2636
2,2660
2,2675
2,2741
2,2793
2,2794
2,2795
2,2806
2,2813
2,2818
2,2832
2,2834
2,2842
2,2848
2,2853
2,2856
2,2858
2,2863
2,2875
2,2885
2,2909
2,2915
2,2931
2,2933
2,3003
2,3082
2,3151
2,3153
2,3172
2,3254
2,3270
2,3288
2,3294
2,3306
2,3339
2,3358
2,3412
2,3457
2,3506
2,3515
2,3531
2,3539
2,3547
2,3551
2,3563
2,3569
2,3637
2,3667
2,3668
2,3672
2,3688
2,3690
2,3691
3,575
3,581
3,589
3,593
3,598
3,599
3,613
3,636
3,637
3,640
3,670
3,672
3,679
3,681
3,688
3,701
